Rank,Player,Receptions,Targets,Yards,Yards Per Reception,Long,20+,Touchdowns,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games,Fantasy Points,Fantasy Points Per Game,Rostered,
1,CeeDee Lamb (DAL),135,181,1749,13.0,92,41,12,14,113,2,2,17,403,24,1,
2,Tyreek Hill (MIA),119,171,1799,15.1,78,57,13,6,15,0,1,16,376,24,1,
3,Amon-Ra St. Brown (DET),119,164,1515,12.7,70,34,10,4,24,0,1,16,331,21,1,
4,Puka Nacua (LAR),105,160,1486,14.2,80,40,6,12,89,0,0,17,299,18,1,
5,A.J. Brown (PHI),106,158,1456,13.7,59,34,7,0,0,0,2,17,290,17,1,
6,DJ Moore (CHI),96,136,1364,14.2,58,41,8,4,21,1,1,17,287,17,1,
7,Mike Evans (TB),79,136,1255,15.9,75,39,13,0,0,0,0,17,283,17,1,
8,Keenan Allen (CHI),108,150,1243,11.5,42,24,7,2,6,0,1,13,279,22,1,
9,Stefon Diggs (HOU),107,160,1183,11.1,55,19,8,1,5,0,1,17,274,16,1,
10,Davante Adams (LV),103,175,1144,11.1,46,19,8,0,0,0,0,17,265,16,1,
11,Ja'Marr Chase (CIN),100,145,1216,12.2,76,28,7,3,-6,0,0,16,263,16,1,
12,Nico Collins (HOU),80,109,1297,16.2,75,41,8,1,7,0,0,15,260,17,1,
13,Michael Pittman Jr. (IND),109,156,1152,10.6,75,20,4,0,0,0,1,16,250,16,1,
14,Brandon Aiyuk (SF),75,105,1342,17.9,76,42,7,0,0,0,1,16,249,16,1,
15,Deebo Samuel Sr. (SF),60,89,892,14.9,54,30,7,37,225,5,0,15,244,16,1,
16,Chris Olave (NO),87,138,1123,12.9,51,25,5,0,0,0,0,16,231,15,1,
17,Adam Thielen (CAR),103,137,1014,9.8,32,12,4,1,6,0,0,17,231,14,1,
18,Calvin Ridley (TEN),76,136,1016,13.4,59,25,8,9,23,0,0,17,230,14,1,
19,DeVonta Smith (PHI),81,112,1066,13.2,63,27,7,0,0,0,1,16,228,14,1,
20,Amari Cooper (CLE),72,128,1250,17.4,75,42,5,0,0,0,1,15,227,15,1,
21,DK Metcalf (SEA),66,119,1114,16.9,73,37,8,0,0,0,0,16,225,14,1,
22,DeAndre Hopkins (TEN),75,137,1057,14.1,61,27,7,2,9,0,0,17,224,13,1,
23,Jordan Addison (MIN),70,108,911,13.0,62,26,10,1,2,0,0,17,221,13,1,
24,Jakobi Meyers (LV),71,106,807,11.4,33,10,8,4,24,2,0,16,219,14,1,
25,Jayden Reed (GB),64,94,793,12.4,59,27,8,11,119,2,0,16,217,14,1,
26,Garrett Wilson (NYJ),95,168,1042,11.0,68,21,3,4,0,0,2,17,213,13,1,
27,Rashee Rice (KC),79,102,938,11.9,67,16,7,1,-3,0,1,16,213,13,1,
28,Chris Godwin (TB),83,130,1024,12.3,47,22,2,4,38,1,0,17,209,12,1,
29,George Pickens (PIT),63,106,1140,18.1,86,42,5,3,18,0,0,17,209,12,1,
30,Zay Flowers (BAL),77,108,858,11.1,75,23,5,8,56,1,0,16,206,13,1,
31,Terry McLaurin (WAS),79,132,1002,12.7,48,23,4,0,0,0,0,17,203,12,1,
32,Tyler Lockett (SEA),79,122,894,11.3,37,13,5,0,0,0,0,17,202,12,1,
33,Justin Jefferson (MIN),68,100,1074,15.8,52,35,5,1,-12,0,1,10,202,20,1,
34,Jaylen Waddle (MIA),72,104,1014,14.1,60,22,4,3,12,0,0,14,199,14,1,
35,Courtland Sutton (DEN),59,90,772,13.1,46,23,10,0,0,0,3,16,190,12,1,
36,Romeo Doubs (GB),59,96,674,11.4,36,10,8,0,0,0,0,17,174,10,0,
37,Drake London (ATL),69,110,905,13.1,45,21,2,0,0,0,0,16,174,11,1,
38,Brandin Cooks (DAL),54,81,657,12.2,37,16,8,5,35,0,0,16,173,11,0,
39,Tank Dell (HOU),47,75,709,15.1,68,17,7,11,51,0,0,11,165,15,1,
40,Cooper Kupp (LAR),59,95,737,12.5,62,20,5,1,-3,0,0,12,164,14,1,
41,Gabe Davis (JAC),45,81,746,16.6,57,21,7,1,-2,0,1,17,161,10,1,
42,Curtis Samuel (BUF),62,91,613,9.9,37,11,4,7,39,1,0,16,157,10,0,
43,Josh Downs (IND),68,98,771,11.3,59,19,2,0,0,0,0,17,157,9,0,
44,Rashid Shaheed (NO),46,75,719,15.6,58,31,5,7,37,0,1,16,156,10,0,
45,Diontae Johnson (CAR),51,87,717,14.1,71,18,5,0,0,0,0,13,153,12,1,
46,Darius Slayton (NYG),50,79,770,15.4,80,22,4,0,0,0,0,17,151,9,0,
47,Christian Kirk (JAC),57,85,787,13.8,57,23,3,1,6,0,2,12,150,13,1,
48,Jaxon Smith-Njigba (SEA),63,93,628,10.0,35,10,4,0,0,0,0,17,150,9,1,
49,Tyler Boyd (FA),67,98,667,10.0,64,12,2,2,11,0,0,17,146,9,0,
50,Jerry Jeudy (CLE),54,87,758,14.0,47,21,2,0,0,0,0,16,142,9,1,
51,Tee Higgins (CIN),42,76,656,15.6,80,14,5,0,0,0,0,12,138,12,1,
52,Hollywood Brown (KC),51,101,574,11.3,41,11,4,2,23,0,0,14,135,10,1,
53,Wan'Dale Robinson (NYG),60,78,525,8.8,33,9,1,9,87,1,0,15,133,9,0,
54,Elijah Moore (CLE),59,104,640,10.8,42,13,2,9,11,0,2,17,132,8,0,
55,Josh Reynolds (DEN),40,64,608,15.2,33,18,5,0,0,0,1,17,129,8,0,
56,Jahan Dotson (WAS),49,83,518,10.6,33,6,4,0,0,0,0,17,125,7,0,
57,K.J. Osborn (NE),48,75,540,11.3,47,10,3,0,0,0,0,16,120,8,0,
58,Dontayvion Wicks (GB),39,58,581,14.9,35,14,4,1,1,0,1,15,120,8,0,
59,DJ Chark Jr. (LAC),35,66,525,15.0,47,14,5,0,0,0,1,15,116,8,0,
60,Michael Wilson (ARI),38,58,565,14.9,69,11,3,0,0,0,0,13,115,9,0,
61,Khalil Shakir (BUF),39,45,611,15.7,81,17,2,1,10,0,0,17,113,7,0,
62,Tutu Atwell (LAR),39,67,483,12.4,44,15,3,5,31,0,0,16,112,7,0,
63,Odell Beckham Jr. (MIA),35,64,565,16.1,51,19,3,0,0,0,1,14,108,8,0,
64,DeMario Douglas (NE),49,79,561,11.4,42,11,0,8,41,0,1,14,107,8,0,
65,Joshua Palmer (LAC),38,61,581,15.3,79,19,2,1,6,0,1,11,107,10,0,
66,Rondale Moore (ATL),40,62,352,8.8,48,7,1,28,178,1,0,17,105,6,0,
67,Noah Brown (HOU),33,55,567,17.2,75,22,2,1,-1,0,0,10,102,10,0,
68,Christian Watson (GB),28,53,422,15.1,77,12,5,4,11,0,0,9,101,11,1,
69,Kendrick Bourne (NE),37,55,406,11.0,36,7,4,1,4,0,1,8,100,13,0,
70,Kalif Raymond (DET),35,44,489,14.0,41,14,1,7,75,0,0,17,97,6,0,
71,Nelson Agholor (BAL),35,45,381,10.9,37,6,4,0,0,0,0,17,97,6,0,
72,Trey Palmer (TB),39,68,385,9.9,54,9,3,3,22,0,1,17,96,6,0,
73,Alec Pierce (IND),32,65,514,16.1,58,17,2,0,0,0,0,17,95,6,0,
74,Quentin Johnston (LAC),38,67,431,11.3,57,8,2,3,9,0,0,17,94,6,0,
75,Michael Thomas (FA),39,64,448,11.5,31,5,1,0,0,0,0,10,90,9,0,
76,Robert Woods (HOU),40,75,426,10.7,26,2,1,1,7,0,0,14,89,6,0,
77,Justin Watson (KC),27,53,460,17.0,41,14,3,0,0,0,1,16,89,6,0,
78,Michael Gallup (LV),34,57,418,12.3,41,9,2,0,0,0,0,17,88,5,0,
79,Demarcus Robinson (LAR),26,39,371,14.3,37,10,4,1,23,0,1,13,87,7,0,
80,Nick Westbrook-Ikhine (TEN),28,45,370,13.2,33,10,3,0,0,0,0,14,85,6,0,
81,Jonathan Mingo (CAR),43,85,418,9.7,40,9,0,0,0,0,0,15,85,6,0,
82,Jameson Williams (DET),24,42,354,14.8,63,12,2,3,29,1,0,12,80,7,0,
83,Darnell Mooney (ATL),31,61,414,13.4,41,11,1,2,5,0,0,15,79,5,0,
84,Zay Jones (ARI),34,64,321,9.4,36,4,2,0,0,0,0,9,78,9,0,
85,Rashod Bateman (BAL),32,56,367,11.5,29,2,1,1,18,0,0,16,77,5,0,
86,Brandon Johnson (DEN),19,30,284,14.9,50,10,4,0,0,0,0,13,73,6,0,
87,DeVante Parker (PHI),33,55,394,11.9,30,7,0,0,0,0,0,13,72,6,0,
88,Tre Tucker (LV),19,34,331,17.4,50,14,2,10,77,0,0,16,72,5,0,
89,Marvin Mims Jr. (DEN),22,33,377,17.1,60,18,1,9,30,0,2,16,71,4,0,
90,Cedrick Wilson Jr. (NO),22,38,296,13.5,31,6,3,0,0,0,0,15,70,5,0,
91,Chris Moore (ARI),22,35,424,19.3,49,17,0,2,39,0,0,17,68,4,0,
92,Brandon Powell (MIN),29,44,324,11.2,28,6,1,5,17,0,1,17,67,4,0,
93,Greg Dortch (ARI),24,41,280,11.7,38,6,2,1,5,0,0,16,65,4,0,
94,Trenton Irwin (CIN),25,32,316,12.6,32,8,1,0,0,0,0,16,63,4,0,
95,Allen Robinson II (NYG),34,49,280,8.2,31,3,0,0,0,0,0,17,62,4,0,
96,JuJu Smith-Schuster (NE),29,47,260,9.0,37,4,1,0,0,0,0,11,61,6,0,
97,A.T. Perry (NO),12,18,246,20.5,44,9,4,0,0,0,0,10,61,6,0,
98,Jalin Hyatt (NYG),23,40,373,16.2,58,16,0,0,0,0,0,17,60,4,0,
99,Allen Lazard (NYJ),23,49,311,13.5,39,6,1,0,0,0,0,14,60,4,0,
100,Isaiah Hodgins (NYG),21,33,230,11.0,24,1,3,0,0,0,1,17,60,4,0,
101,KaVontae Turpin (DAL),12,18,127,10.6,34,3,3,11,110,1,0,16,60,4,0,
102,Jalen Tolbert (DAL),22,36,268,12.2,45,7,2,0,0,0,1,17,59,4,0,
103,Xavier Gipson (NYJ),21,38,229,10.9,36,5,0,8,68,1,2,17,59,4,0,
104,Braxton Berrios (MIA),27,33,238,8.8,22,1,1,1,11,0,0,16,58,4,0,
105,Jake Bobo (SEA),19,25,196,10.3,31,4,2,1,3,1,0,17,57,3,0,
106,Marquez Valdes-Scantling (BUF),21,42,315,15.0,46,9,1,0,0,0,1,16,57,4,0,
107,Skyy Moore (KC),21,38,244,11.6,54,6,1,3,23,0,0,14,54,4,0,
108,Kadarius Toney (KC),27,38,169,6.3,18,0,1,11,31,0,0,13,53,4,0,
109,Calvin Austin III (PIT),17,30,180,10.6,72,4,1,11,57,1,0,17,53,3,0,
110,Jauan Jennings (SF),19,33,265,13.9,31,5,1,0,0,0,0,13,52,4,0,
111,Andrei Iosivas (CIN),15,25,116,7.7,16,0,4,0,0,0,0,16,51,3,0,
112,Mike Williams (NYJ),19,26,249,13.1,49,7,1,1,3,0,0,3,50,17,0,
113,David Bell (CLE),14,23,167,11.9,41,6,3,0,0,0,0,15,49,3,0,
114,Hunter Renfrow (FA),25,37,255,10.2,38,5,0,0,0,0,1,17,49,3,0,
115,Lil'Jordan Humphrey (DEN),13,19,162,12.5,54,4,3,0,0,0,0,17,47,3,0,
116,Bo Melton (GB),16,24,218,13.6,37,4,1,3,21,0,0,4,46,12,0,
117,Alex Erickson (FA),16,29,232,14.5,27,4,1,0,0,0,0,8,45,6,0,
118,Cedric Tillman (CLE),21,44,224,10.7,23,1,0,1,8,0,0,14,44,3,0,
119,Mack Hollins (BUF),18,30,251,13.9,45,5,0,0,0,0,0,13,43,3,0,
120,Van Jefferson (PIT),20,43,209,10.5,46,3,0,1,4,0,0,17,41,2,0,
121,Jamal Agnew (FA),14,21,225,16.1,65,7,1,4,-2,0,1,11,40,4,0,
122,Deonte Harty (BAL),15,21,150,10.0,43,4,1,4,0,0,1,16,40,3,0,
123,Treylon Burks (TEN),16,30,221,13.8,70,8,0,5,18,0,0,11,40,4,0,
124,Parker Washington (JAC),16,21,132,8.3,19,0,2,0,0,0,1,9,39,4,0,
125,Scotty Miller (PIT),11,16,161,14.6,56,7,2,0,0,0,0,17,39,2,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
